x,y
-0.6592,0.6672
-0.7638,0.862
0.692,-0.9356
0.6818,-0.8788
0.6984,-0.794
0.6824,-0.7476
0.6878,-0.7144
0.687,-0.6816
0.6992,-0.6872
0.7036,-0.7572
0.7002,-0.7468
0.6802,-0.5856
0.6814,-0.5704
0.6886,-0.5432
0.7072,-0.5584
0.6812,-0.4852
0.6912,-0.468
0.694,-0.5028
0.6932,-0.428
0.685,-0.2484
0.6868,-0.2048
0.6926,-0.2296
0.6876,-0.1264
0.693,-0.1264
0.7036,-0.1768
0.7138,-0.152
0.7128,-0.192
0.9368,0.6096
0.7194,-0.0532
0.719,-0.0644
0.7126,-0.1
0.6856,0.0624
0.702,0.0476
0.6814,0.154
0.6944,0.3412
0.7026,0.3144
0.694,0.4836
0.7072,0.5672
0.6856,0.6008
0.6814,0.6596
0.7046,0.6488
0.7138,0.6792
0.7024,0.7044
0.6846,0.7608
0.6818,0.8532
0.6898,0.986
0.6922,0.9892
0.6984,0.984
0.7098,0.9788
0.9024,-0.5364
0.8916,-0.0264
0.9014,0.4976
0.9162,0.4996
0.8936,0.576
0.8986,0.5616
0.8908,0.5424
0.9182,0.5936
0.9172,0.5752
0.9178,0.5564
0.887,0.6156
0.9028,0.63
0.889,0.6836
0.8824,0.7352
0.8878,0.7272
0.89,0.7432
0.8994,0.9376
0.8504,-0.0516
0.8566,-0.0668
0.8496,0.0036
0.8416,0.1444
0.8508,0.2004
0.8444,0.3
0.8402,0.2832
0.8484,0.3184
0.8594,0.356
0.853,0.3572
0.8678,0.348
0.8432,0.3864
0.8662,0.4068
0.8732,0.38
0.8712,0.3612
0.8434,0.4676
0.8578,0.5136
0.8674,0.4716
0.877,0.4632
0.859,0.5864
0.8564,0.642
0.8596,0.65
0.8612,0.6484
0.8676,0.6668
0.8482,0.694
0.853,0.7456
0.8574,0.7296
0.8604,0.7056
0.869,0.7448
0.8718,0.7008
0.8796,0.684
0.8602,0.7676
0.8746,0.9096
0.8088,-0.4956
0.8016,-0.2312
0.8016,-0.2068
0.8052,-0.2028
0.8046,-0.2044
0.8072,-0.2048
0.8072,-0.2136
0.807,-0.2184
0.8108,-0.2016
0.813,-0.2132
0.807,-0.1968
0.8238,-0.1892
0.8032,-0.0428
0.8028,0.0132
0.8016,0.1332
0.803,0.1948
0.8022,0.2104
0.8358,0.2184
0.8132,0.3392
0.8266,0.2912
0.8294,0.3064
0.821,0.3552
0.838,0.3072
0.8092,0.3676
0.829,0.4072
0.8306,0.3752
0.8166,0.4916
0.8156,0.4912
0.8196,0.486
0.8304,0.4992
0.8042,0.5432
0.8194,0.5296
0.8264,0.584
0.8178,0.718
0.8286,0.7076
0.805,0.7648
0.825,0.7936
0.8022,0.9412
0.8368,0.9628
0.8056,-0.494
0.7684,-0.8988
0.7646,-0.6184
0.772,-0.6476
0.7766,-0.4336
0.7704,-0.3016
0.794,-0.1888
0.784,-0.0156
0.7804,0.0932
0.7828,0.0876
0.7974,0.1696
0.7996,0.1716
0.7736,0.2736
0.7988,0.2036
0.761,0.4324
0.7782,0.3988
0.7876,0.3788
0.7802,0.4084
0.7982,0.3844
0.762,0.4652
0.775,0.492
0.786,0.4484
0.788,0.4636
0.7698,0.5408
0.761,0.562
0.7786,0.6708
0.7688,0.716
0.7664,0.7184
0.7796,0.7316
0.7732,0.7012
0.7708,0.6916
0.7842,0.6956
0.7856,0.7004
0.7814,0.7304
0.7962,0.6924
0.7862,0.798
0.7682,0.9068
0.775,0.8944
0.7746,0.8776
0.7866,0.858
0.794,0.89
0.7776,0.9352
0.7828,0.9872
0.7274,-0.8776
0.733,-0.8384
0.7326,-0.7736
0.7396,-0.8072
0.746,-0.8192
0.7516,-0.826
0.7202,-0.7408
0.7268,-0.7072
0.7224,-0.7084
0.7234,-0.6988
0.7348,-0.7204
0.7222,-0.6504
0.7232,-0.4552
0.7518,-0.482
0.7346,-0.3276
0.7234,-0.1424
0.7302,-0.156
0.7298,-0.1184
0.7204,-0.0632
0.7274,-0.0316
0.736,0.0088
0.7574,0.0976
0.7248,0.1464
0.7304,0.1528
0.743,0.1564
0.7242,0.206
0.7552,0.3372
0.7598,0.432
0.729,0.4604
0.7416,0.5356
0.7426,0.59
0.7394,0.6684
0.7364,0.6488
0.7484,0.662
0.7336,0.7124
0.7306,0.6888
0.7218,0.778
0.7474,0.7808
0.7414,0.806
0.7474,0.904
0.7448,0.904
0.7214,0.9652
0.7456,0.93
0.7376,-0.6964
0.7592,0.5616
0.7462,0.828
0.7438,0.924
0.933,-0.5236
0.9292,-0.4832
0.7034,0.7328
0.8254,0.198
0.6418,-0.9484
0.6422,-0.9384
0.6524,-0.9876
0.658,-0.9876
0.668,-0.986
0.6662,-0.85
0.669,-0.7944
0.6764,-0.8388
0.6514,-0.7412
0.6682,-0.706
0.6402,-0.5776
0.6432,-0.55
0.6572,-0.5484
0.6548,-0.5516
0.6558,-0.5528
0.6504,-0.5548
0.645,-0.5072
0.6478,-0.474
0.6538,-0.4812
0.6706,-0.4424
0.6764,-0.4468
0.668,-0.4028
0.6656,-0.3808
0.6534,-0.3364
0.6612,-0.3036
0.6788,-0.2996
0.6708,-0.3112
0.6442,-0.2204
0.6614,-0.132
0.6662,-0.1344
0.6708,-0.07
0.679,-0.086
0.6632,0.0524
0.6634,0.0612
0.673,0.06
0.6422,0.13
0.6422,0.1612
0.6524,0.126
0.6718,0.1276
0.6486,0.2572
0.6632,0.266
0.6458,0.3352
0.6506,0.3552
0.6654,0.3288
0.6422,0.3904
0.6406,0.3964
0.6506,0.4016
0.6574,0.3844
0.678,0.3984
0.6776,0.3672
0.673,0.5812
0.673,0.6468
0.6422,0.7264
0.641,0.7388
0.6428,0.7252
0.646,0.7596
0.6498,0.75
0.6528,0.742
0.6596,0.7232
0.6574,0.694
0.6604,0.734
0.6684,0.7328
0.642,0.764
0.6552,0.9464
0.6308,-0.848
0.6218,-0.772
0.603,-0.7004
0.613,-0.7428
0.6208,-0.7496
0.6206,-0.69
0.6146,-0.6436
0.636,-0.6428
0.608,-0.532
0.6116,-0.592
0.627,-0.5992
0.6202,-0.5332
0.6342,-0.5592
0.6394,-0.578
0.6374,-0.5876
0.6038,-0.428
0.633,-0.3656
0.6002,-0.2452
0.6134,-0.1216
0.612,-0.1248
0.6254,-0.1452
0.6272,-0.1272
0.6014,0.3768
0.613,0.3864
0.6236,0.3736
0.6308,0.3792
0.6146,0.454
0.616,0.676
0.6152,0.67
0.6208,0.66
0.608,0.7112
0.601,0.7536
0.616,0.6876
0.6188,-0.0836
0.6112,-0.0904
0.621,-0.0972
0.6296,-0.0816
0.6334,-0.116
0.6016,0.0332
0.604,0.066
0.6394,0.1164
0.6352,0.0576
0.6308,0.0452
0.635,-0.6436
0.614,-0.088
0.6178,0.5496
0.615,0.7768
0.6134,0.8976
0.6174,0.8604
0.6304,0.8864
0.6072,0.9332
0.617,0.9788
0.6214,0.9224
0.628,0.9284
0.6338,0.9496
0.5796,-0.7416
0.5908,-0.742
0.5878,-0.6716
0.595,-0.6332
0.5918,-0.6696
0.5986,-0.6764
0.5736,-0.5972
0.5918,-0.4492
0.5924,-0.1676
0.5868,-0.0464
0.5874,0.0484
0.5874,0.0612
0.5784,0.2048
0.5992,0.2236
0.5908,0.2004
0.591,0.4076
0.561,0.47
0.584,0.6964
0.589,0.7008
0.5898,0.7172
0.5836,0.7072
0.5912,0.7644
0.5972,0.91
0.5904,0.8496
0.5224,-0.8296
0.5206,-0.8052
0.5444,-0.8176
0.5588,-0.7716
0.547,-0.7416
0.5426,-0.6768
0.5446,-0.6608
0.547,-0.6412
0.5448,-0.644
0.5536,-0.5864
0.5414,-0.456
0.533,-0.3432
0.5422,-0.3164
0.5382,0.0704
0.5464,0.0892
0.5274,0.0848
0.5384,0.0908
0.5396,0.3452
0.5466,0.3488
0.5584,0.4128
0.5276,0.552
0.5306,0.5472
0.5558,0.5608
0.492,-0.9624
0.5164,-0.9972
0.4864,-0.866
0.496,-0.8944
0.5022,-0.884
0.5022,-0.8464
0.4978,-0.8312
0.5044,-0.8252
0.4804,-0.7208
0.516,-0.7256
0.5146,-0.7508
0.4974,-0.5572
0.4936,-0.584
0.4928,-0.5804
0.5012,-0.5736
0.504,-0.568
0.5008,-0.5208
0.4802,-0.4956
0.4916,-0.4456
0.4924,-0.4792
0.4966,-0.4784
0.492,-0.4996
0.4998,-0.4884
0.4978,-0.4928
0.4918,-0.5116
0.4978,-0.5156
0.4964,-0.516
0.499,-0.5188
0.4882,-0.4244
0.497,-0.3672
0.4918,-0.41
0.4968,-0.43
0.5104,-0.3392
0.4882,0.1352
0.4912,0.234
0.5024,0.4448
0.517,0.708
0.4992,0.8164
0.4504,-0.986
0.475,-0.9628
0.4656,-0.8416
0.4714,-0.8572
0.4576,-0.7972
0.4696,-0.8012
0.4456,-0.7352
0.4596,-0.6956
0.4576,-0.7444
0.4702,-0.7224
0.4698,-0.7268
0.4688,-0.728
0.4702,-0.7292
0.4632,-0.7116
0.4602,-0.7092
0.4608,-0.7064
0.4704,-0.7024
0.4604,-0.6996
0.4764,-0.7168
0.4416,-0.6524
0.4436,-0.5844
0.4412,-0.572
0.4408,-0.5712
0.446,-0.5692
0.4424,-0.5752
0.4452,-0.5768
0.4468,-0.5592
0.4414,-0.5584
0.4414,-0.5376
0.4504,-0.5452
0.4638,-0.5408
0.4658,-0.4672
0.4454,-0.4104
0.4482,-0.226
0.4694,-0.1928
0.4586,0.1992
0.4506,0.974
0.4476,-0.604
0.4486,-0.5828
0.4426,-0.5728
0.4712,-0.5336
0.4482,-0.458
0.4574,-0.4852
0.45,-0.2264
0.4268,-0.9312
0.4234,-0.8984
0.4228,-0.8612
0.4298,-0.8528
0.426,-0.7628
0.439,-0.7916
0.404,-0.7568
0.4012,-0.7552
0.4074,-0.7368
0.4134,-0.7432
0.4318,-0.7444
0.4104,-0.6048
0.4252,-0.6512
0.4208,-0.6288
0.4216,-0.6272
0.402,-0.5904
0.4098,-0.5956
0.4096,-0.598
0.4136,-0.5916
0.4272,-0.5532
0.4278,-0.55
0.434,-0.5444
0.4376,-0.5628
0.435,-0.576
0.4358,-0.5796
0.4308,-0.5792
0.4394,-0.5852
0.4378,0.398
0.4136,0.6316
0.403,-0.6108
0.4064,-0.6088
0.4368,-0.332
0.3908,-0.9216
0.3868,-0.7792
0.3874,-0.778
0.3834,-0.764
0.3774,-0.7592
0.3806,-0.752
0.3992,-0.7084
0.3918,-0.752
0.3896,-0.6136
0.3832,-0.6036
0.3606,-0.5736
0.3754,-0.596
0.3694,-0.23
0.3954,0.242
0.3256,-0.9988
0.3298,-0.9856
0.3336,-0.9788
0.3248,-0.922
0.3236,-0.906
0.3236,-0.9176
0.3216,-0.8972
0.3294,-0.8848
0.3246,-0.7968
0.3532,-0.7668
0.3512,-0.7664
0.3264,-0.742
0.3286,-0.734
0.3258,-0.7008
0.346,-0.744
0.34,-0.7416
0.342,-0.7352
0.3528,-0.71
0.352,-0.7408
0.3372,-0.6568
0.3556,-0.6016
0.324,-0.534
0.3392,-0.5852
0.3468,-0.5872
0.341,-0.5836
0.359,-0.568
0.359,-0.5624
0.3422,-0.3248
0.2822,-0.9788
0.282,-0.9388
0.292,-0.9308
0.3028,-0.936
0.3046,-0.928
0.3106,-0.9388
0.3188,-0.9368
0.2802,-0.91
0.2818,-0.9112
0.2854,-0.902
0.2818,-0.8888
0.2876,-0.884
0.2898,-0.858
0.2986,-0.848
0.294,-0.8556
0.2924,-0.8728
0.2884,-0.9004
0.2918,-0.8868
0.2946,-0.9056
0.2934,-0.9124
0.3004,-0.9188
0.3016,-0.9184
0.3082,-0.9148
0.3064,-0.9192
0.3052,-0.9128
0.3062,-0.8928
0.3164,-0.9064
0.3128,-0.8976
0.3074,-0.8116
0.3158,-0.7836
0.2836,-0.7208
0.2982,-0.704
0.298,-0.7068
0.2904,-0.7524
0.296,-0.7584
0.302,-0.7228
0.305,-0.7212
0.307,-0.7016
0.3106,-0.6968
0.3184,-0.6864
0.29,-0.6584
0.318,-0.6728
0.3144,0.3336
0.295,0.5424
0.3072,-0.9252
0.2956,-0.9052
0.2594,-0.9408
0.2646,-0.9468
0.2678,-0.9432
0.2642,-0.9452
0.2786,-0.928
0.2564,-0.856
0.2594,-0.8432
0.2574,-0.876
0.2588,-0.8828
0.2586,-0.888
0.257,-0.906
0.2696,-0.8912
0.2724,-0.8484
0.2784,-0.8424
0.278,-0.8752
0.2756,-0.88
0.279,-0.8828
0.279,-0.8908
0.277,-0.8936
0.2726,-0.8924
0.276,-0.8956
0.2798,-0.9036
0.2792,-0.9052
0.2778,-0.9096
0.2578,-0.7932
0.259,-0.8012
0.2794,-0.762
0.2592,-0.6948
0.2696,-0.7104
0.2624,-0.6992
0.2498,-0.6416
0.247,-0.6164
0.242,-0.6024
0.251,-0.6156
0.2696,-0.5676
0.2664,-0.192
0.249,0.6672
0.262,-0.7456
0.21,-0.9348
0.211,-0.948
0.2144,-0.952
0.2112,-0.9728
0.2306,-0.9648
0.2376,-0.9984
0.2082,-0.8716
0.214,-0.9104
0.2192,-0.9052
0.2276,-0.878
0.228,-0.7652
0.2228,-0.7468
0.2094,-0.606
0.2076,-0.6068
0.2124,-0.6084
0.2298,-0.6572
0.235,-0.604
0.2046,-0.5988
0.2072,-0.5476
0.2222,-0.6
0.2222,-0.5368
0.2366,-0.5972
0.237,-0.5928
0.2382,-0.5844
0.2302,-0.4832
0.2306,-0.4144
0.2356,-0.3596
0.229,-0.1072
0.2166,-0.0084
0.2262,0.0508
0.2286,0.0552
0.2046,0.3268
0.2156,0.3344
0.234,0.466
0.2234,0.7316
0.2368,0.7464
0.212,-0.9948
0.2278,-0.952
0.2022,-0.874
0.2052,-0.6032
0.2118,-0.6636
0.1604,-0.9656
0.1684,-0.956
0.1658,-0.954
0.181,-0.9456
0.1646,-0.8784
0.1582,-0.8712
0.1606,-0.8532
0.1864,-0.9028
0.198,-0.8936
0.1638,-0.804
0.1994,-0.834
0.1894,-0.8344
0.1654,-0.7332
0.1942,-0.7092
0.1994,-0.7136
0.192,-0.73
0.195,-0.7336
0.1924,-0.756
0.1902,-0.7516
0.197,-0.6568
0.178,-0.4832
0.1924,-0.446
0.1992,-0.4408
0.183,-0.4204
0.1874,0.098
0.1788,0.17
0.1718,-0.8972
0.1852,-0.7404
0.1616,-0.6396
0.1774,0.5552
0.173,0.6108
0.1866,0.9736
0.1202,-0.9648
0.1264,-0.9672
0.1268,-0.9732
0.1312,-0.9716
0.1438,-0.9396
0.1524,-0.9252
0.1218,-0.9116
0.122,-0.9076
0.1238,-0.9084
0.1216,-0.904
0.1274,-0.896
0.1258,-0.8628
0.1484,-0.8836
0.1412,-0.8764
0.1404,-0.8292
0.1432,-0.8208
0.1414,-0.6912
0.1468,-0.6968
0.1584,-0.7516
0.159,-0.7564
0.1544,-0.7552
0.1532,-0.646
0.152,-0.6732
0.1234,-0.5908
0.1524,-0.4036
0.1496,-0.308
0.1234,0.0532
0.1236,0.0636
0.1222,0.248
0.1226,0.276
0.1388,0.5688
0.1488,0.5796
0.156,0.5624
0.1416,0.624
0.143,0.6256
0.1524,0.6268
0.1528,0.8216
0.1406,0.8592
0.1114,-0.9988
0.0838,-0.8456
0.0846,-0.8476
0.0922,-0.844
0.116,-0.9188
0.1172,-0.9096
0.0838,-0.8316
0.0816,-0.8316
0.0854,-0.8276
0.092,-0.7664
0.0962,-0.7776
0.0908,-0.8004
0.1082,-0.772
0.0802,-0.6352
0.092,-0.4512
0.0814,-0.198
0.0996,0.1124
0.0936,0.0828
0.0998,0.1724
0.1172,0.24
0.0866,0.542
0.1194,0.524
0.1074,0.6416
0.1196,0.6404
0.117,0.7424
0.098,0.7728
0.11,0.8024
0.1014,0.8228
0.1204,0.8072
0.0838,-0.8284
0.9666,0.75
0.9656,0.7592
0.9876,0.7644
0.9934,0.894
0.0452,-0.9244
0.0506,-0.9364
0.0544,-0.8532
0.0628,-0.8872
0.0666,-0.8524
0.0762,-0.8856
0.0574,-0.8196
0.0604,-0.8084
0.0706,-0.8396
0.0752,-0.7196
0.053,0.1404
0.0494,0.216
0.0666,0.2872
0.0634,0.332
0.0722,0.512
0.0426,0.7048
0.0784,0.6812
0.0478,0.8216
0.0436,0.9188
0.0466,0.9548
0.0442,0.996
0.0046,-0.9956
0.0002,-0.962
0.0048,-0.7608
0.0176,-0.7916
0.0092,-0.7004
0.0174,-0.754
0.0276,-0.1564
0.0028,0.056
0.0284,0.094
0.0256,0.114
0.0118,0.132
0.0274,0.1292
0.0316,0.1768
0.0018,0.2276
0.001,0.2752
0.0222,0.2148
0.0342,0.26
0.0002,0.29
0.0098,0.3312
0.0162,0.4016
0.0062,0.4484
0.0296,0.66
0.021,0.674
0.0306,0.6632
0.032,0.6728
0.0194,0.734
0.0236,0.7212
0.0208,0.906
-0.0352,-0.934
-0.0084,-0.9556
-0.0394,-0.8992
-0.0378,-0.8844
-0.004,-0.8996
-0.0038,-0.898
-0.0012,-0.916
-0.0238,-0.8352
-0.0116,-0.8224
-0.0102,-0.8116
-0.0216,-0.748
-0.0334,0.0404
-0.0328,0.2104
-0.037,0.2532
-0.015,0.262
-0.0092,0.2612
-0.0096,0.2588
-0.024,0.3008
-0.0124,0.2904
-0.0306,0.3644
-0.0278,0.438
-0.0168,0.4284
-0.0072,0.4248
-0.0208,0.8044
-0.0168,0.7684
-0.0188,0.8172
-0.0004,0.902
-0.075,-0.9068
-0.076,-0.8988
-0.0512,-0.8992
-0.054,-0.8636
-0.0408,-0.9052
-0.048,-0.9148
-0.0548,-0.7848
-0.0438,-0.774
-0.0484,-0.792
-0.0492,0.3032
-0.045,0.4124
-0.049,0.4316
-0.0604,0.5176
-0.0608,0.5104
-0.043,0.5068
-0.0738,0.5328
-0.0706,0.5876
-0.0684,0.5428
-0.062,0.5572
-0.057,0.5328
-0.042,0.558
-0.0758,0.628
-0.0774,0.6792
-0.0506,0.654
-0.0426,0.6064
-0.0536,0.7044
-0.047,0.7204
-0.041,0.6968
-0.0724,0.7932
-0.0792,0.8024
-0.0606,0.9012
-0.0518,0.966
-0.1054,-0.9356
-0.1012,-0.952
-0.1002,-0.9568
-0.1034,-0.9616
-0.094,-0.9124
-0.1194,-0.7716
-0.0862,-0.7752
-0.084,-0.786
-0.108,-0.6008
-0.1134,-0.4824
-0.113,-0.4628
-0.0806,-0.4324
-0.1124,0.0832
-0.0814,0.1376
-0.1166,0.3868
-0.101,0.416
-0.108,0.364
-0.107,0.372
-0.117,0.4748
-0.1052,0.4716
-0.0918,0.4844
-0.0806,0.4704
-0.1112,0.556
-0.116,0.5684
-0.1054,0.5528
-0.097,0.5544
-0.0972,0.5916
-0.0842,0.5228
-0.1194,0.6068
-0.1184,0.6296
-0.1176,0.6296
-0.0972,0.63
-0.0898,0.6408
-0.0828,0.632
-0.0884,0.6048
-0.117,0.6824
-0.1196,0.7992
-0.107,0.7876
-0.1068,0.7852
-0.1098,0.7704
-0.1088,0.7768
-0.0904,0.7884
-0.122,-0.8912
-0.1206,-0.5172
-0.134,0.3572
-0.1278,0.3364
-0.1538,0.3604
-0.1376,0.4108
-0.1322,0.382
-0.1578,0.4628
-0.1372,0.4412
-0.129,0.4836
-0.1526,0.5652
-0.1324,0.6284
-0.126,0.6244
-0.1504,0.7444
-0.122,0.7044
-0.1284,0.8012
-0.1214,0.8092
-0.1222,0.7992
0.1634,-0.6188
0.173,-0.646
0.1814,-0.4952
0.6604,-0.3136
0.6532,0.5932
0.6736,-0.1056
0.6738,0.16
-0.1896,-0.9408
-0.1766,-0.958
-0.1672,-0.9776
-0.1914,-0.6792
-0.1958,-0.1916
-0.1614,0.418
-0.165,0.464
-0.1682,0.6752
-0.1958,0.838
-0.1904,0.838
-0.2148,-0.7916
-0.2018,-0.7728
-0.2008,-0.7792
-0.2316,-0.664
-0.2344,0.3032
-0.2266,0.6616
-0.221,0.6096
-0.2218,0.6864
-0.2122,0.6824
-0.2258,0.8244
-0.2116,0.7952
-0.2088,0.8076
-0.2284,0.8536
-0.203,0.8708
-0.275,-0.8116
-0.2766,-0.7
-0.2736,-0.6976
-0.2604,-0.7176
-0.2612,-0.746
-0.2584,-0.5872
-0.2554,-0.5744
-0.2486,-0.4908
-0.2764,0.5284
-0.2766,0.6212
-0.2402,0.6732
-0.2414,0.728
-0.2742,0.7796
-0.2636,0.7956
-0.276,0.8776
-0.2746,0.8044
-0.2736,0.9356
-0.299,-0.858
-0.286,-0.9004
-0.2974,-0.7076
-0.2874,-0.7468
-0.2968,-0.5616
-0.3116,-0.4876
-0.292,-0.4016
-0.313,0.8108
-0.3086,0.8312
-0.2874,0.9152
-0.2822,0.8744
-0.2804,0.8404
-0.2878,0.9328
-0.342,-0.8704
-0.3306,-0.9168
-0.3328,-0.864
-0.3598,-0.7972
-0.3428,-0.816
-0.3276,-0.8228
-0.3352,-0.6976
-0.345,-0.6152
-0.3226,-0.6688
-0.348,-0.5284
-0.3306,-0.5496
-0.3372,-0.5344
-0.3492,-0.4996
-0.332,-0.5072
-0.3386,-0.428
-0.3544,0.3568
-0.358,0.4316
-0.3434,0.4212
-0.3456,0.432
-0.3304,0.3788
-0.3544,0.444
-0.336,0.4572
-0.3324,0.4596
-0.3546,0.5764
-0.3508,0.5696
-0.359,0.5848
-0.3402,0.5504
-0.3442,0.552
-0.3242,0.5524
-0.3426,0.6188
-0.3252,0.728
-0.359,0.8296
-0.3382,0.7636
-0.3396,0.836
-0.3276,0.8136
-0.3498,0.87
-0.3342,0.868
-0.3214,0.8816
-0.353,0.9976
-0.3342,0.9808
-0.3292,0.9656
-0.3258,0.9324
-0.6606,0.9448
-0.397,-0.9576
-0.3816,-0.9364
-0.3872,-0.948
-0.379,-0.9832
-0.3804,-0.8716
-0.3658,-0.6976
-0.3888,-0.6476
-0.3976,-0.5856
-0.3618,-0.5672
-0.3682,-0.462
-0.3608,-0.4636
-0.3634,-0.4696
-0.3922,-0.4024
-0.3712,-0.4388
-0.3998,-0.346
-0.361,-0.3596
-0.3708,0.332
-0.3776,0.3352
-0.3924,0.396
-0.3914,0.3884
-0.3908,0.3872
-0.397,0.394
-0.3938,0.4116
-0.382,0.4216
-0.387,0.4224
-0.3832,0.3992
-0.3814,0.3976
-0.3804,0.3868
-0.3722,0.3944
-0.3704,0.3816
-0.376,0.3852
-0.3732,0.3916
-0.379,0.4236
-0.3788,0.4352
-0.3764,0.4224
-0.3734,0.4324
-0.368,0.4368
-0.3638,0.4396
-0.3618,0.434
-0.3608,0.43
-0.3604,0.428
-0.367,0.4204
-0.3666,0.4232
-0.3652,0.4264
-0.366,0.4316
-0.3664,0.434
-0.3642,0.4368
-0.3684,0.418
-0.3642,0.4172
-0.3676,0.3816
-0.3692,0.384
-0.3676,0.388
-0.368,0.3916
-0.3656,0.3836
-0.3666,0.39
-0.3632,0.3788
-0.3652,0.3728
-0.3624,0.3764
-0.3928,0.4452
-0.3978,0.5008
-0.3844,0.4552
-0.3706,0.4444
-0.3638,0.462
-0.3684,0.4764
-0.3694,0.4456
-0.3616,0.4588
-0.3618,0.4548
-0.3634,0.4408
-0.363,0.442
-0.3644,0.4436
-0.3882,0.5832
-0.3886,0.5752
-0.3718,0.5336
-0.378,0.572
-0.371,0.5992
-0.3694,0.5976
-0.3804,0.746
-0.3716,0.7568
-0.3988,0.7744
-0.39,0.786
-0.3776,0.8392
-0.3748,0.8348
-0.366,0.8236
-0.3648,0.8308
-0.3648,0.8008
-0.398,0.862
-0.399,0.8808
-0.3908,0.8828
-0.3928,0.8848
-0.3902,0.916
-0.3896,0.8892
-0.3824,0.892
-0.3808,0.886
-0.3808,0.8832
-0.3802,0.8752
-0.3768,0.8676
-0.376,0.87
-0.3766,0.8688
